@marcosdoval twitterhandle
E e
o o
senado senado
continua continuar
frouxo frouxo
e e
sem sem
moral moral
para para
impor impor
a o
lei lei
e e
a o
ordem ordem
referente referente
a o
constituição constituição
federal federal
( (
isto isto
é ser
matar matar
a o
liberdade liberdade
de de
expressão expressão
em em
seu seu
legítimo legítimo
estado estado
de de
direito direito
constitucional constitucional
) )
. .
Adeus adeus
democracia democracia
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
